,0,1,2,3,FullAddress
0,16473,1202 S KIRKWOOD RD,KIRKWOOD,MO,1202 S KIRKWOOD RD KIRKWOOD MO
1,1001021,500 WARREN COUNTY CENTER,WARRENTON,MO,500 WARREN COUNTY CENTER WARRENTON MO
2,1001188,11900 ST CHARLES ROCK RD,BRIDGETON,MO,11900 ST CHARLES ROCK RD BRIDGETON MO
3,1001265,10741 WEST FLORISSANT AVE,ST LOUIS,MO,10741 WEST FLORISSANT AVE ST LOUIS MO
4,100145,3 TOWN CENTER DRIVE,BOWLING GREEN,MO,3 TOWN CENTER DRIVE BOWLING GREEN MO
5,100152,12862 STATE ROAD 21,DESOTO,MO,12862 STATE ROAD 21 DESOTO MO
6,100172,1701 A TROY DRIVE,WASHINGTON,MO,1701 A TROY DRIVE WASHINGTON MO
7,100173,1 MEMORIAL DRIVE,POTOSI,MO,1 MEMORIAL DRIVE POTOSI MO
8,100196,1450 EAST MAIN,CARBONDALE,IL,1450 EAST MAIN CARBONDALE IL
9,1002213,3270 TELEGRAPH ROAD,ST LOUIS,MO,3270 TELEGRAPH ROAD ST LOUIS MO
10,100243,1971 WENTZVILLE PKWY,WENTZVILLE,MO,1971 WENTZVILLE PKWY WENTZVILLE MO
11,1002600,100 THF BLVD,CHESTERFIELD,MO,100 THF BLVD CHESTERFIELD MO
12,100262,919 GIACONE DRIVE,BENTON,IL,919 GIACONE DRIVE BENTON IL
13,100295,131 EUREKA TWIN CENTER DR,EUREKA,MO,131 EUREKA TWIN CENTER DR EUREKA MO
14,100313,2700 RIDGE POINT DR,HIGH RIDGE,MO,2700 RIDGE POINT DR HIGH RIDGE MO
15,100354,1888 HWY 28 EAST,OWENSVILLE,MO,1888 HWY 28 EAST OWENSVILLE MO
16,10037,101 HWY 47 EAST,TROY,MO,101 HWY 47 EAST TROY MO
17,100377,701 WALTON DRIVE,FARMINGTON,MO,701 WALTON DRIVE FARMINGTON MO
18,100436,2591 12TH STREET,CARLYLE,IL,2591 12TH STREET CARLYLE IL
19,1004695,6660 GODFREY RD,GODFREY,IL,6660 GODFREY RD GODFREY IL
20,1005313,6100 RONALD REAGAN DRIVE,LAKE ST LOUIS,MO,6100 RONALD REAGAN DRIVE LAKE ST LOUIS MO
21,100648,1661 JUNGERMAN ROAD,ST PETERS,MO,1661 JUNGERMAN ROAD ST PETERS MO
22,10065,350 PARKRIDGE ROAD,SULLIVAN,MO,350 PARKRIDGE ROAD SULLIVAN MO
23,100653,653 GRAVOIS BLUFF BLVD,FENTON,MO,653 GRAVOIS BLUFF BLVD FENTON MO
24,10069,650 SOUTH TRUMAN BLVD,FESTUS,MO,650 SOUTH TRUMAN BLVD FESTUS MO
25,10095,407 NORTH STATE STREET,DESLOGE,MO,407 NORTH STATE STREET DESLOGE MO
26,101071,610 WESLEY HIGHWAY 50,WOOD RIVER,IL,610 WESLEY HIGHWAY 50 WOOD RIVER IL
27,101418,1530 WEST HIGHWAY 50,O'FALLON,IL,1530 WEST HIGHWAY 50 O'FALLON IL
28,101514,2201 MICHIGAN AVE,ARNOLD,MO,2201 MICHIGAN AVE ARNOLD MO
29,10201,2608 GREEN MOUNT COMMONS  DR,BELLEVILLE,IL,2608 GREEN MOUNT COMMONS  DR BELLEVILLE IL
30,10253,1316 SOUTH STATE STREET,JERSEYVILLE,IL,1316 SOUTH STATE STREET JERSEYVILLE IL
31,10256,400 JUNCTION DR,GLEN CARBON,IL,400 JUNCTION DR GLEN CARBON IL
32,102616,1307 HIGHWAY K,O'FALLON,MO,1307 HIGHWAY K O'FALLON MO
33,10328,961 NORTH MARKET STREET,WATERLOO,IL,961 NORTH MARKET STREET WATERLOO IL
34,10361,1040 COLLINSVILLE CROSSING,COLLINSVILLE,IL,1040 COLLINSVILLE CROSSING COLLINSVILLE IL
35,104216,2802 OUTER ROAD DRIVE,MARION,IL,2802 OUTER ROAD DRIVE MARION IL
36,104222,1410 NORTH MARKET,SPARTA,IL,1410 NORTH MARKET SPARTA IL
37,104252,215 GRANT WAY,DUQUOIN,IL,215 GRANT WAY DUQUOIN IL
38,1043022,6495 COUNTRY CLUB ROAD,MURPHYSBORO,IL,6495 COUNTRY CLUB ROAD MURPHYSBORO IL
39,10435,12495 STATE RTE 143,HIGHLAND,IL,12495 STATE RTE 143 HIGHLAND IL
40,1608554,3390 NORTH HIGHWAY 67,FLORISSANT,MO,3390 NORTH HIGHWAY 67 FLORISSANT MO
41,1608566,7437 WATSON RD,SHREWSBURY,MO,7437 WATSON RD SHREWSBURY MO
42,1608641,HWY 150/2206 STATE S,CHESTER,IL,HWY 150/2206 STATE S CHESTER IL
43,1608644,45 SUTTERS MILL RD,ST. PETERS,MO,45 SUTTERS MILL RD ST. PETERS MO
44,1608645,3031 MID RIVERS MALL DR,ST. PETERS,MO,3031 MID RIVERS MALL DR ST. PETERS MO
45,1608815,1101 BELTLINE RD,COLLINSVILLE,IL,1101 BELTLINE RD COLLINSVILLE IL
46,1609039,100 OZARK DR ,CUBA,MO,100 OZARK DR  CUBA MO
47,235791,1900 MAPELWOOD COMMONS,MAPLEWOOD,MO,1900 MAPELWOOD COMMONS MAPLEWOOD MO
48,31684,2897 VETERANS MEMORIAL PKWY,ST CHARLES,MO,2897 VETERANS MEMORIAL PKWY ST CHARLES MO
49,379999,379 WEST PONTOON RD,GRANITE CITY,IL,379 WEST PONTOON RD GRANITE CITY IL
50,63699,201 HIGHLANDS BLVD DR,MANCHESTER,MO,201 HIGHLANDS BLVD DR MANCHESTER MO
